,word_count
Be Aware_SOJA_2006,276
Be Careful With A Fool_Johnny Winter_1969,119
Be Healthy_Dead Prez_2000,333
Be Like That_3 Doors Down_1999,212
Be My Lover_Alice Cooper_1971,90
Be My Lover_Brenda Boykin_2008,1
Be Stiff (Live)_Devo_1993,120
Be With Me_Mindy McCready_2002,186
Beast In the Broch_The Lord Weird Slough Feg_2000,1
Beautiful Lies_Eddie_1957,446
Beautiful_Christina Aguilera_2002,191
Beautiful_Eminem_2009,753
Beauty And The Beast_Nightwish_1997,161
Because Of You (Album Version)_Unwritten Law_2005,105
Because Of You_Cece Winans_1995,130
Because Of You_Neil Sedaka_1999,92
Bed Of Roses_Warrant_1996,158
Bedroom Acoustics_Muse_2001,1
Bedtime Story (Album Version)_Madonna_1994,185
Beef_Capone-N-Noreaga_2009,480
Been Fighting Devilz_Snowgoons_2009,396
Been There All The Time_Dinosaur Jr_2007,96
Beginning Of The End_Cockney Rejects_1987,175
Beholder of Justice (Album Version)_Hatebreed (int License)_2003,164
Believe (Album Version)_Josh Groban_2017,162
Believe In Me (Clubb Mix)_ATB_2005,114
Believe_Saga_2001,0
Belleza Pasajera_Tam Tam Go!_1993,81
Beni Aglatma_Mustafa Sandal_1994,0
Beothuck_Malefaction_2001,39
bereit_Panzer AG_2004,69
Best Friends_Kieran_2005,314
Best Friend_Toni Braxton_1993,209
Best In LA_Marc Shaiman_2008,308
Betrayal Is A Symptom_Thrice_2002,140
Better Days (Album Version)_Faith Hill_1998,241
Better Days_Colin James_1995,203
Better Life_3 Doors Down_2007,138
Better Luck Next Time_Lifehouse_2005,89
Better To Have Lost In Love (Than Never To Have Loved)_Eurythmics_1985,86
Better_Vivian_1992,496
Between Love & Hate_The Strokes_2003,157
Between Me & You Kid (Album Version)_Mudhoney_1993,193
Between The Worlds_Be Bop Deluxe_1975,91
Between You And Me_Joy Enriquez_2001,354
Be_Jessica Simpson_2003,331
Big Boss Man_John Hammond_1965,185
Big Bottom_Spinal Tap_1984,150
Big Business_Dilated Peoples_2004,218
Big Fella_Fuzz_2002,408
Big Train_Conway Twitty_2009,137
Big Woman_Washboard Sam_1986,146
Biloxi_Kenny Price_1999,220
Birch_Maximilian Hecker_2005,68
Birdies_Danny Elfman_2008,384
Bitch Is Back_LA Guns_1988,196
Bite Back_The All-American Rejects_2005,175
Black & White_Vanessa Daou_2008,156
Black Betty_Pat Travers_2007,133
Black Celebration_Monster Magnet_1998,95
Black Diamond_Taking Dawn_2010,98
Black Lung (Album Version)_Rancid_1998,135
Black Market Hell_Aiden_2009,101
Blake's Worried Blues_Blind Blake_2000,0
Blank Eye Stare_Martriden_2006,114
Bleeding Love_Sandi Thom_2012,183
Bleeds In Blue (Album Version)_Home Town Hero_2002,101
BLEEDS NO MORE (Live Version)_Silverstein_2006,169
Blessed Assurance_Glad_1993,146
Blink Of An Eye (Alternative)_Berlin_2002,207
Bloco Da Solidao (1996 Digital Remaster)_Maysa_1974,101
Blood Children (an Introduction) (Album Version)_Atreyu_2004,1
Bloodshed_Bruisers_1989,60
Bloody Pig Pile (Live)_Dropkick Murphys_2002,273
Blue Blue Day_Don Gibson_1987,102
Blue Moon_T-Bone_1990,63
Blue Orchid_The White Stripes_2005,147
Blue Skies_Blue October_2009,263
Blueberry Hill_Gene Autry_1992,74
Blues As Blues Can Get_Chris Farlowe_2006,135
Blues Do Elevador_Zeca Baleiro_2000,95
Blues_Terry Callier_2001,132
BlÃ¥sut_Sofia Karlsson_2009,135
Boar Hog Blues_Jazz Gillum_1997,151
Boat Day At the Marina_Forensics_2004,46
Bobby's Girl (Previously Unreleased Demo - Stereo)_Marcie Blane_1988,133
Bolero Militar_Bersuit Vergarabat_1996,99
Bolivian Surf_Bersuit Vergarabat_1996,119
Bonnie Mae_Solas_2000,334
Bonus Beats (2002 Digital Remaster)_NWA_1989,3
Boo Hoo_KT Tunstall_2005,166
Boogie Man_Freddie King_1973,167
Books & Books_The Almost_2009,91
Boomerang (Reprise)_Cirrus_2002,110
Bootleg Rum Dum Blues_Blind Blake_1968,129
Boots The Monkey_Dora The Explorer_0,102
Boring_Lifer_2001,351
Born and Raised In Compton_DJ Quik_1991,433
Born To Be Together_The Ronettes_1991,126
Born To Run_Suzi Quatro_1995,245
Borrow Mine_Bebo Norman_2004,226
Boulevard St Germain_Bloomfield_2006,1
Bounce Back_DJ Spinn_2008,2
Boxed In (Subzero)_Hatebreed_2009,64
Boxing Day_The Pineapple Thief_2006,36
Boys_Britney Spears feat Pharrell Williams_2001,403
Break The Ice_Britney Spears_2007,341
Breakdown [Live with Brett Dennen & Mason Jennings]_Missy Higgins_0,90
Breakin' Dishes_Rihanna_2007,297
Breakin' It_Mindy McCready_1996,147
Breakin'_Milk Inc_2006,181
Breaking Down The Walls Of Heartache_Dexys Midnight Runners_1991,205
Break_Orbit_1999,212
Breathe Easy_Williamson_2005,208
Breathe Me In_Candlebox_2008,182
Breathless_Lifer_2001,62
Bricks And Mortar_The Jam_1977,95
Bridge To Canada_Noisettes_2006,245
Bright Lights_ Big City_Jim Jones  Max B_2006,499
Brighten Your Night With My Day_James Taylor_1970,171
Brillantin' Brutal'_Falco_1984,246
Bring It On_Goose_2006,55
Bring Out Your Dead_Cadacross_2002,83
Britney_Bebo Norman_2008,302
Bro Bill  (LP Version)_Cactus_1996,102
Broderskapets ring_Dimmu Borgir_1996,147
Broke Down On The Brazos (Album)_Gov't Mule_2009,89
Broke Down_Radio Moscow_2009,82
Broken Boy Soldier (KCRW Version)_The Raconteurs_2006,131
Broken Promises (album version)_Moments In Grace_2004,139
Broken Radio_Jesse Malin_2007,175
Brooklyn On A Saturday Night_Neil Diamond_1984,180
Brother_Alice In Chains_1992,104
Brother_Steve Vai_1996,142
Bruk Out and Wine_Elephant Man_2004,842
Bruttosozialprodukt_Geier Sturzflug_1982,247
Bubble Music_Cam'Ron_2004,488
Bubblegum_Helen Love_1997,211
Bubbles in My Beer_Bob Wills_1991,96
Bubblin' (Anita Demo)_Camp Lo_2016,365
Bubulina_Sui Generis_1975,88
Bucket's Got A Hole In It_Washboard Sam_2002,125
Buckle Down (2002 Digital Remaster)_Red Hot Chili Peppers_1990,72
Building_Funeral For A Friend_2008,63
Bull Dog_The Shangri-Las_1964,259
Bullet Proof  I Wish I Was (Acoustic)_Radiohead_1995,62
Bullmoose (LP Version)_Bobby Darin_2008,143
Bully Bully (LP Version)_Off Broadway_1979,249
Bumbo Red_Capleton_1990,493
Burn 'Em Down (LP Version)_Sick Of It All_1997,231
Burning In The Aftermath_The Suicide Machines_2003,48
Burning Skies_Tones On Tail_1987,221
Bury Your Head (Acoustic)_Saosin_2005,228
Bury Your Head_Saosin_2005,228
Bury You_Lollipop Lust Kill_2000,266
Bush_David Banner_2003,251
Bust At You [featuring Baby_ Scarface & Tony Sunshine] (edited album version)_Fat Joe_2002,584
But You Are_Lauren Wood_2007,178
By My Spirit  ()_Eden's Bridge_1997,81
Bye Bye_Vilma Palma e Vampiros_1992,151
BYOB (Explicit Album Version)_Yung Joc_2007,291
C'est La Vie_Marc Lavoine_1989,120
C'est Moi_Rupa and the April Fishes_2009,76
C'est Toujours Le Matin_Cali_2003,150
C30 C60 C90 Go_Bow Wow Wow_2003,255
Cabiria_Hot Club Of Cowtown_2009,127
Cadillac Walk (Album Version)_Willy DeVille_2009,129
CadÃª O Meu Amor_Quinteto Violado_2013,112
Cajun Baby (LP Version)_Commander Cody And His Lost Planet Airmen_1975,121
California_ Gracefully_Every Time I Die_2001,182
Call Me_Mint Condition_1999,100
Call Of Da Wild_OutKast_1994,743
Call On Me_Bad Company_1975,161
Call The Police_John Wayne_1995,0
Calla_Mazz_1982,57
Calm Da Seas_Dave Hollister_2008,117
Camino_Gipsy Kings_1989,70
Camisa Amarela_Gal Costa_1980,120
Campeones De La Vida_Alejandro Lerner_1999,65
Can You Dance With Me_Andrew WK_2006,256
Can You Feel It_Lee Ritenour_1998,179
Can You Hear Me_Enrique Iglesias_2008,312
Can You Hear The Angels_Virtue_2003,438
Can't Break a Dead Girl's Heart_Zombina and The Skeletones_2002,105
Can't Break This Man_Borialis_2004,333
Can't Happen Here_Rainbow_1981,223
Can't Make You Love Me_Britney Spears_2000,215
Can't Stop Cocoa Tea_Cocoa Tea_1991,420
Can't Stop Lovin' You (Remastered Album Version)_Van Halen_1995,163
Can't Take My Eyes Off You_Muse_2002,206
Cancion De Amor Eterno_Carlos Vives_2000,60
Cancion De Amor_2 Minutos_1999,114
Cancion Para Mi Muerte_Sui Generis_1973,135
Candy Man_Hot Tuna_1971,108
Cannibal (Dance Mix)_Reel Big Fish_2007,99
Canta Brasil_Gal Costa_1981,88
Canta Una CanciÃ³n De Amor_Alejandro Lerner_1984,44
Cantares_Raphael_2008,150
Canto Triste_Edu Lobo_1967,92
Caray (con Loquillo_ directo Enjoy 07)_Jaime Urrutia_1997,94
Caray_Gabinete Caligari_1993,95
Career Suicide (CD)_The Cliks_2009,87
Careful In Career_Simple Minds_1981,129
Careless Whisper_Kenny G Featuring Brian McKnight_2005,183
Care_Sizzla_2006,288
Caribou Lou_Tech N9ne_2006,688
Carita De Rosa_Gertrudis_2003,86
Carolan's Concerto_The Chieftains_1971,1
Carry The Weight_Xzibit_1996,514
Catalyst (LP Version)_Epidemic_2002,107
Catharsis Of A Heretic_The Ocean_2010,71
Catholic Knees (Album Version)_Taking Back Sunday_2009,196
Caught In A Dream (Album Version)_Alice Cooper_1971,134
Caught In A Dream_Tesla_2004,236
Caught In The Crossfire_April Wine_1981,184
Caught In The Rain_Martin Sexton_1996,289
Caution_Maxi Priest_1991,515
Cavalleria Rusticana_William Orbit_2000,1
Cave It In_Margaret Becker_1998,105
Caviglia_The Mars Volta_2005,1
CB4 (Instrumental Mix)_Slum Village_2000,401
CB4_Slum Village_2000,401
Celebration (The Plan Album Version)_Raze_2000,196
Cellular Phone_Bounty Killer_1995,475
Celluloid Heroes_Bon Jovi  Ray Davies_2002,294
Cendrier_Java_2003,448
Century City Rag_The Last_1979,4991
Cerilene_Sister Hazel_1997,223
Certain Things We Do_Lost Boyz_1997,534
Certified Gangstas (featuring Jim Jones Camron & Bezell)_The Game feat Jim Jones Camron and Bezell_2003,509
Chain (Album Version)_The Fire Theft_2003,101
Chains (LP Version)_THE COOKIES_1992,123
Chains Chains (Live In Hammersmith)_UFO_1987,161
Chains Of Love_Joe Turner_2009,105
Champagne & Reefer_Bongzilla_2005,151
Change Clothes_Jay-Z_2003,505
Change The Way (Highlands Album Version)_White Heart_1995,231
Change You or Change Me (Amended Version)_Fabolous_2003,533
Changed My Life_Baby Bash  Grimm_2003,234
Chant For Eschaton 2000_Behemoth_1999,128
Charly (Trip Into Drum And Bass Version) (Remastered)_The Prodigy_1991,30
Chase The Light_Dope Stars Inc_2006,163
Chase_Leona Naess_2000,78
Chasing Cars_Snow Patrol_2006,163
Chasing Monsters_John Wesley_2001,205
Chasing Windmills_Heavy D_2008,353
Chatma_Tinariwen_2003,82
Check 1_2_EPMD_1999,432
Check It (Explicit)_Lords Of The Underground_1993,44
Check On It_BeyoncÃ© feat Slim Thug_2005,263
Cheer_Descendents_1986,195
Chega De Sausade_Elizete Cardoso_0,105
Chelsea Girl (Live)_Simple Minds_2004,190
Cherry Pie_Warrant_1997,310
Cherry_UFO_1978,161
Chi Chi Man_TOK_2001,435
Chicago Bound Blues_Bessie Smith_1991,84
Child Of My Kingdom_Arthur Brown_1968,260
Chime (edit)_Orbital_1990,1
China Doll_Slim Whitman_2002,129
Chlore_Pascal Obispo_1994,140
Chocolate_Snow Patrol_2003,99
CHOKECHAIN (Amended Album Version)_3OH!3_2008,330
Christe Eleison (Christ Have Mercy) (Center Of My Universe Album Version)_Michelle Tumes_2000,92
Christina The Astonishing (2010 Digital Remaster)_Nick Cave and The Bad Seeds_2007,146
Christlike Roche_The Roches_1995,185
Christmas All Over Again_Tom Petty And The Heartbreakers_1995,165
Christmas In Jamaica_Toni Braxton Featuring Shaggy_2001,425
Church_ I'm Fully Saved Today_Blind Willie Johnson_1991,253
Cicada_Silverchair_1995,84
Cien Anos_Selena_2000,40
Cierro Mis Ojos_Raphael_1967,64
Cincinnati Ohio_Connie Smith_2001,105
City Headache_Scott Matthews_2006,116
City Of Screaming Statues_At The Gates_1991,223
Clap Ur Handz_K-OS_2004,133
Class Act_James Hunter_2008,114
Class Compromise (&History's Glory)_The Business_2001,99
Clavelitos_Joselito_2001,72
Cleansing_The Color Red_2002,73
Clever Girls Like Clever Boys Much More Than Clever Boys Like Clever Girls_Pelle Carlberg_2007,256
Climax (Instrumental Mix)_Slum Village_2016,386
Close To Me_M_2004,207
Close To You_Rick Astley_2005,136
Close Up_Charles Williams_2001,4069
Close Your Eyes_Atomic Rooster_1972,112
Closed Eyes_Bury Your Dead_2009,79
Closing Scene_The Radio Dept_2007,1
Clothes Of Sand_Solas_2002,174
Clown_Mariah Carey_2002,357
CNN War Theme_Monster Magnet_2004,42
Co-Pilot (Album Version)_Letters To Cleo_1997,155
Coffee Blues_Mississippi John Hurt_1966,178
COG To The ATL_DJ Taz_1997,393
Coke (Live)_Flickerstick_2001,182
