,polarity,subjectivity
A Void Of Lifeless Dreams_Limbonic Art_2007,0.09060606060606062,0.5275757575757576
A White Demon Love Song (Soundtrack Album Version)_The Killers_2009,0.09282407407407407,0.2530092592592592
A Whiter Shade Of Pale_Annie Lennox_1995,0.028785714285714293,0.2568571428571428
Aattelepa ite_Jope Ruonansuu_2004,0.0,0.0
ABC (The Alphabet Song)_Dora The Explorer_2010,0.0,0.0
Aberdeen Blues_Bukka White_1940,-0.0315771349862259,0.42176308539944896
Ability To Create A War_A Skylit Drive_2007,0.0,0.0
Abnormal (Acoustic)_Bumblefoot_2008,-0.028295376121463094,0.5258109040717737
About Last Night (LP Version)_Vitamin C_1999,0.31445578231292515,0.46445578231292506
Absolute Horizon_Byzantine_2008,-0.004999999999999993,0.745
Absolute_The Fray_2009,0.21756198347107442,0.5600550964187329
Abstracted_Scar Symmetry_2006,0.30571428571428577,0.5871428571428571
Abused And Unloved_Malefaction_2001,-0.27346938775510204,0.6729591836734693
Acapulco Sunrise_Santana_1991,0.0,0.0
Accept Crime (Album Version)_Alexisonfire_2009,0.5537946428571427,0.7285714285714285
Ace Insurance Man_Bobbie Gentry_1968,0.027541572184429337,0.43997543461829186
AcordeÃ³n_Massiel_1984,0.0,0.0
Act Won (Things Fall Apart)_The Roots_1999,0.19665750915750912,0.7241300366300366
Adelante_Isabel Pantoja_2002,0.0,1.0
Adnans_Orbital_1999,0.0,0.0
Adrift_Jack Johnson_2008,0.08703703703703707,0.6907407407407407
Affliction_AFI_2006,0.13518455228981546,0.5808783321941217
Africans_Mighty Diamonds_1993,-0.06971844293272865,0.5184429327286472
Africa_Dusminguet_1998,0.0,0.0
After All The Love Is Gone_Alias_1990,-0.032539682539682535,0.5170634920634921
After Hours_Phantom Planet_2004,0.059825937950937956,0.5481150793650794
After One Quarter Of A Revolution_Every Time I Die_2009,-0.016242283950617293,0.4126543209876543
Again (Instrumental)_Janet Jackson_1993,0.26793650793650803,0.4458730158730159
Against My Will (LP Version)_Brenda Lee_1960,0.35000000000000003,0.6140522875816992
Again_Janet Jackson_1993,0.26793650793650803,0.4458730158730159
Again_Radney Foster_2002,0.17352941176470588,0.4749766573295984
Aguas Claras De Olimpos_Pescado Rabioso_1973,0.0,0.0
Ahead By A Century_The Tragically Hip_1996,-0.004320987654320975,0.44320987654320976
Ain't Gone 'N' Give Up On Love_Stevie Ray Vaughan And Double Trouble_2005,0.37228260869565216,0.6212560386473429
Ain't Got Nothin' But The Blues (Album Version)_Robben Ford_1988,0.1638888888888889,0.5377777777777777
Ain't It Funny_Jennifer Lopez_2001,0.09502572898799315,0.6466981132075469
Ain't No Right ( LP Version )_Jane's Addiction_1990,-0.10758241758241754,0.6954273504273506
Ain't No Sunshine_Michael Jackson_1972,0.15122100122100118,0.6277167277167277
Ain't She Sweet_The Beatles  Tony Sheridan_1964,0.05983044733044734,0.5165223665223667
Ain't That Loving You Baby_John Hammond_2003,0.375,0.4749999999999999
Ain`t got nothing ( feat David Banner & Eddy Soulo )_Samy Deluxe_2005,0.10453409758965314,0.45582010582010596
Airheads_Sweet_2002,0.09109848484848485,0.46977272727272723
Al Final_KALIMBA_2009,0.0,1.0
Al maestro_El Barrio_1999,0.0,0.0
Al Munda Dios Amo (LP Version)_Jaci Velasquez_0,0.0,0.0
Al Svartr (The Oath)_Emperor_2013,0.20625,0.46249999999999997
Albinoni's Adagio In G Minor (LP Version)_The Doors_2002,0.11354166666666665,0.5666666666666667
Albo_Hevia_2007,0.0,0.0
Alfil_ Ella No Cambia Nada_Luis Alberto Spinetta_1998,0.0,0.0
Alguna Vez_La Portuaria_1993,0.0,0.0
Alimony_Shaggy_1994,0.10283309283309285,0.5980547538880872
Alive_Dala_2009,0.11022727272727277,0.3942099567099569
Alkohol_SKOLD vs KMFDM_2009,0.054841269841269843,0.5900000000000001
All About Our Love_Sade_2000,0.6666666666666666,0.7333333333333334
All Alone (Live)_Gorillaz_2005,0.012337662337662335,0.5764069264069265
All at sea_Richard Walters_2009,0.046666666666666655,0.61
All Creatures Of Our God And King_Patty Griffin_2010,0.47460317460317464,0.686111111111111
All Day_Butthole Surfers_1987,0.11818181818181821,0.49015151515151506
All For Nothing_Since The Flood_2007,0.08205741626794258,0.31315789473684214
All For The Sake Of The Song_Roger Creager_2003,0.20838744588744587,0.6795454545454546
All I Can Do_Kane_2005,0.2111111111111111,0.47916666666666674
All I Ever Really Wanted_Donnie McClurkin_1990,0.2783333333333333,0.43023809523809514
All I Ever_Ms Dynamite_2002,0.2107936507936508,0.5673015873015873
All I Want_Captain Hollywood Project_1993,0.09208152958152957,0.39265873015873015
All In A Day (Live @ The Troubadour_ LosAngeles)_The Paul Butterfield Blues Band_2015,-0.09388888888888888,0.5383333333333334
All My Life (LP Version)_Venice_1990,0.11523087576614804,0.45971239981140977
All My Senses_Mando Diao_2004,0.14000793650793653,0.5541190476190476
All Night Long (Instumental)_Junior Kimbrough_1998,0.39413265306122447,0.5619897959183672
All Night Long_Junior Kimbrough_1999,0.39413265306122447,0.5619897959183672
All Night Long_Warrant_2004,0.20813095238095233,0.488547619047619
All Night Worker_Dave Alvin_2006,0.006439393939393937,0.35770202020202024
All Of This_Blink-182_2003,0.0,0.0
All Or Nothing  (Wonderful World Album Version)_Chris Eaton_1995,0.23055555555555557,0.5240740740740741
All Or Nothing_Chris Eaton_1995,0.23055555555555557,0.5240740740740741
All Or Nothing_SKOLD vs KMFDM_2009,0.04166666666666667,0.4048245614035088
All Over Me_Jay Tee and Baby Bash_2008,-0.10664414414414414,0.4893018018018017
All Over Now_X_1964,0.27800925925925923,0.5530092592592593
All Rise_Scott Wesley Brown_1988,0.27276041666666667,0.29
All That You Need_The Brooklyn Tabernacle Choir_1995,0.18268229166666666,0.5666666666666667
All That's Left_Thrice_2003,0.09411764705882354,0.3602941176470588
All The Answers_Jesus Jones_1989,0.17676111767020858,0.7328905942542306
All The Rage (Clean Album Version)_Funeral For A Friend_2005,0.007924107142857142,0.6029637896825397
All The Things You Are_Eliane Elias_1995,0.23333333333333334,0.5833333333333333
All the Way_Gloria_1986,0.2322916666666667,0.6729166666666665
All The Way_Joey McIntyre_1999,0.13333333333333333,0.2333333333333334
All Things Must Pass (2009 Digital Remaster)_George Harrison_2002,0.19857142857142857,0.36023809523809525
Alla Fine Di Tutto Questo_Fabri Fibra_2009,0.390873015873016,0.49404761904761907
Alla Mot Alla_Kent_2008,0.0,0.0
Alli Mia Fora_Peggy Zina_0,0.0,0.0
Alma de B-Boy_El Gran Silencio_2007,0.4,0.8
Alma Mater_Moonspell_1995,0.16666666666666666,0.8666666666666667
Alma_ CorazÃ³n Y Vida_Dyango_2003,0.0,0.0
Almost Grown_Jesse Malin_2002,-0.08186813186813187,0.48580586080586075
Alone Together (Live Acoustic)_John Wesley_2013,0.19821428571428573,0.43015873015873013
Alpha Beta Parking Lot_Cake_1998,-0.04808201058201059,0.3702050264550265
Alright Now_Paul Rodgers_0,0.25811688311688324,0.5720057720057716
Alright_ Alright_ Alright_Mungo Jerry_1992,0.13571428571428573,0.6307142857142858
Always And Forever (Bff)  (Power Album Version)_Raze_1999,0.017407407407407403,0.3756481481481481
Always And Never (Album Version)_Silverstein_2005,0.1331111111111111,0.20355555555555555
Am I That Easy To Forget_Carl Belew_1959,0.44783549783549786,0.7654040404040404
Am I That Easy To Forget_Skeeter Davis_1995,0.4613636363636364,0.7068602693602694
Amazing (LP Version)_Point Of Grace_1998,0.26333333333333336,0.5190196078431373
Amazing Grace (Album Version)_Dropkick Murphys_1999,0.24500000000000002,0.6566666666666668
Amazing_George Michael_2004,0.26590099715099713,0.5697293447293448
Amber Changing_Rise Against_2003,0.15184523809523803,0.423095238095238
America's Suitehearts_Fall Out Boy_2008,0.35357420357420355,0.5506216006216005
American Dream_Vixen_1988,0.05238095238095238,0.2071428571428572
American Ghost Dance (2003 Digital Remastered)_Red Hot Chili Peppers_1985,-0.07854545454545454,0.3341818181818182
American Girl_Brooke Valentine_2005,0.20439814814814816,0.44814814814814813
Amie_Lonestar_1997,0.1758928571428571,0.6120039682539682
Amigo (Con el Coro de Infantes de la Basilica de Guadalupe)_Yahir_2006,0.0,0.0
Ammonite_Zeromancer_2009,-0.08333333333333333,0.3666666666666667
Amo Dejarte Asi_Gustavo Cerati_2003,0.0,0.0
Amor a Medias_HA-ASH_2005,0.2,0.30000000000000004
Amor Bonito_Pablo Montero_1999,0.0,0.0
Amor De Cabaret_Sonora Santanera_2007,0.0,0.0
Amor De Juventud_Pedro Aznar_1995,0.0,0.75
Amor Siciliano_Juan Carlos Baglietto_1993,0.0,0.0
An Mouvman_Kassav'_2009,0.0,0.0
An Old Fashioned Christmas_Carpenters_1992,0.10532738095238094,0.5703174603174603
and Heavens Cried Blood_Swallow The Sun_2009,0.08076923076923077,0.3743589743589744
And I Hear You Call_Amorphis_1997,0.25,0.5069444444444444
And Still I Wither_Enslavement Of Beauty_1999,-0.1666666666666667,0.7000000000000002
Andale_Los Traileros Del Norte_0,0.0,0.0
Andra sidan_Sofia Karlsson_2009,0.0,0.0
Aneurysm_Nirvana_1992,0.12773109243697478,0.477310924369748
Angel Band_Porter Wagoner_1997,0.13749999999999998,0.5375
Angel Food_Steve Vai_2009,0.0,0.0
Angel Of Light (Never Say Die Album Version)_Petra_2011,-0.050418470418470404,0.724227994227994
Angel [Footsteps] (Album Version)_Jeff Beck_1999,0.0,0.0
Angelito (Directo 09)_Carlos Baute_2001,0.0,0.0
Angel_Aerosmith_1987,0.2076201576201576,0.5676434676434676
Angel_Julio Iglesias Jr_2008,-0.30000000000000004,1.0
Angie (1993 Digital Remaster)_The Rolling Stones_1988,0.2111111111111111,0.7708333333333334
Angry Chair_Alice In Chains_1992,-0.2119047619047619,0.5642857142857143
Annie's Angle_Mando Diao_2004,0.22590277777777779,0.3829513888888889
Anonymous Phone Call_Bobby Vee_1962,0.21553030303030304,0.4719065656565656
Another Lesson (Album Version)_Hoods_2001,0.08958333333333332,0.4770833333333333
Another Long One_Shawn Colvin_1989,0.00877777777777778,0.5086984126984128
Another Lover_The Last Vegas_2009,-0.03402712186803097,0.6003445165945166
Another World (Album Version)_Richard Hell and The Voidoids_1977,0.02218799718799719,0.4389092389092389
Another Year_K's Choice_2000,0.07792207792207793,0.4233766233766234
Answer In The Question_MxPx_2000,0.013544973544973542,0.5066137566137566
Antarctica Starts Here_John Cale_1973,0.07834467120181407,0.5594954648526077
Antidote For The Underdog_Less Than Jake_2008,0.12627551020408165,0.4792517006802721
Anya_Marvin Hamlisch_1977,-0.023966648696025036,0.5897417271993546
Anyday_Amil_2000,0.04052579365079362,0.45099206349206356
Anything For My Baby_Kiss_0,0.11704545454545455,0.6000000000000001
Anything's Better Than Feelin' The Blues_Martina McBride_1999,0.07473158785658787,0.4189774114774115
Anytime You Need A Friend_Mariah Carey_1993,0.1673076923076923,0.6653846153846152
Anyway_ Anyhow_ Anywhere_The Who_1979,0.2413961038961039,0.5181006493506493
Anywhere Anytime_Sara Melson_2008,0.23106060606060608,0.4545454545454545
Apagon_Estopa_2004,0.0,0.0
Aphrodite (1999 Digital Remaster)_The Edgar Broughton Band_1970,0.06808712121212121,0.28020833333333334
Apples in the Trees (Live)_Mirah_2005,0.07922077922077922,0.5867965367965368
Approach To Danger (Edited)_NWA_2006,-0.08770325203252033,0.4514227642276423
Aquel Amor_Flor Silvestre_1964,0.0,0.0
Arco Arena_Cake_2001,0.12916666666666668,0.7875
Are We Mindless_Headhunter_1994,-0.13208928571428577,0.7174285714285713
Are You Ever Gonna Love Me_Jimmy Wayne_2003,0.13581349206349208,0.47698412698412695
Are You The One_The Presets_2005,0.10885416666666668,0.6281249999999999
Are You There (With Another Girl)_Burt Bacharach_1967,0.29375,0.6773148148148148
Arise_ My Love (Song Of Solomon)_Michael Card_2006,0.5166666666666666,0.7075757575757574
Armageddon's Raid_Belphegor_2008,0.0,1.0
Army Of Me (Album Version)_Chimaira_2003,-0.24404761904761907,0.5803571428571429
Arnold Layne_David Gilmour Featuring Richard Wright_2006,-0.10555555555555556,0.3333333333333333
Around And Around_The Rolling Stones_1964,-0.1009920634920635,0.48373015873015895
Around The World_Roger Williams_1976,0.08114227101516934,0.4735272331529333
As Diehard As They Come (Album Version)_Hatebreed_2006,0.25,0.75
As Mist Lay Silent Beneath_Keep Of Kalessin_1999,0.15357142857142858,0.5642857142857143
As The Sleeper Awakes_Soilwork_2007,0.1036231884057971,0.44335748792270535
Ascendant_Keep Of Kalessin_2008,-0.10185185185185186,0.24629629629629632
Asha_Asha Puthli_2009,0.08922619047619045,0.5333928571428571
Asheville Turnaround_The Del McCoury Band_2003,0.19137205387205383,0.4794191919191921
Ask Fi War_Bounty Killer_1996,-0.03734093597374848,0.38702686202686204
Ask The Angels_The Distillers_2000,0.08079427083333336,0.4072916666666669
Ass Attack (Four Tet Remix)_Hot Chip_2004,0.13308080808080805,0.5904040404040404
Assassination_Dead Prez_2000,0.07672438672438672,0.5182539682539684
Assface_GG Allin_1987,0.09833333333333333,0.5683333333333332
Assouf_Tinariwen_2007,0.0972222222222222,0.46944444444444444
At Night_Shakedown_2001,0.41428571428571426,0.5142857142857142
At The Atlantis_Bad Brains_1996,0.0,0.0
At The Movies (1991 Digital Remaster)_Bad Brains_1983,-0.06341991341991342,0.4183982683982684
At The Movies (Live)_Bad Brains_1988,-0.06341991341991342,0.4183982683982684
Atmosphere Station_James Horner_1986,0.0,0.0
Atomic Beat Boy (Album Version)_Helen Love_2000,0.17671911421911426,0.4960081585081584
Atrapados En La Red_Tam Tam Go!_1999,0.0,0.0
Attic Room_Casiotone For The Painfully Alone_2003,-0.1154040404040404,0.5643939393939393
Au Bout De La Marelle_Patrick Bruel_1999,0.16666666666666666,0.3333333333333333
Auf Der Mundharmonika_Marlene Dietrich_1992,0.0,0.0
Autobahn (Live)_Kraftwerk_2008,0.0,0.0
Autofokus_KIZ_2005,0.0,0.0
Automatic_Less Than Jake_1996,-0.21083333333333334,0.574861111111111
Autumn's Ablaze (Live)_Primordial_1998,-0.027777777777777776,0.7361111111111112
Avisame_Baby Rasta and Gringo_2004,0.0,0.0
Awake (Album Version)_Onesidezero_2001,-0.12035714285714286,0.4635714285714285
Awake_The Panic Channel_2006,0.12727272727272726,0.25454545454545463
Away From The Sky_Rickie Lee Jones_1989,0.1478174603174603,0.3968253968253968
Away in a Manger_Loretta Lynn_0,-0.007916666666666674,0.4966666666666666
Ayer_El Gran Silencio_2002,-0.9765625,1.0
Ayudame Freud_Ricardo Arjona_1994,0.0,0.0
Aziatic (Outro)_AZ_2002,-0.04505021645021646,0.6331627705627705
Azzurro_Jaime Urrutia_2005,0.0,0.0
B-Boy Stance_K-OS_2004,0.09546783625730992,0.44290935672514603
Baal's Hymn_David Bowie_1982,0.007056878306878307,0.4475462962962962
Babes In Arms_April Wine_1979,0.05717189314750293,0.6579849012775841
Baby (LP Version)_Prince_1978,0.07231800766283525,0.49712643678160917
Baby Come To Me_Kenny G featuring Daryl Hall_2004,0.23967532467532465,0.6012987012987012
Baby Don't You Change_Tyrone Wells_2005,0.4035714285714285,0.5190476190476191
Baby Please Don't_Tampa Red_2007,-0.731712962962963,0.9324074074074075
Baby's First Christmas_Connie Francis_1959,0.33439849624060153,0.44486215538847107
Baby's On Fire_Eno_1973,0.19393939393939397,0.7136363636363637
Baby_ Baby_ Baby_Bob Margolin_2007,-0.2617424242424243,0.5049242424242424
Baby_ I'm Your Man_Kevin Max_2008,0.4106060606060606,0.6606060606060604
Bach Suite No 1 In G Major (Gigue)_John Williams_1988,0.0,0.0
Bad Days_Timo Maas_2001,0.05781250000000001,0.6638888888888889
Bad Dreams_Lyrics Born_2003,-0.048257343015407524,0.43090117767537134
Bad Influence_The Robert Cray Band_1983,-0.21979166666666664,0.592361111111111
Bad Man Story_Beenie Man_0,0.14106020113673173,0.4033910533910533
Bad Seed_Jan Howard_1966,-0.17499999999999996,0.5794117647058823
Bad When U Broke_Dave Hollister_2003,-0.36570010449320783,0.6094827586206896
Badd Indian_Apache Indian_1993,-0.48576388888888894,0.5878472222222217
Baggage_L7_1994,-0.11788888888888886,0.5102222222222222
Baila Girl_ Todo Hombre Llorando Por Ti_Daddy Yankee_2003,0.0,0.0
Bald Head_Professor Longhair_1980,0.06199494949494948,0.39444444444444443
Ballad In Urgency_The Black Crowes_1994,0.04126984126984127,0.5801587301587301
Ballin' the Jack_Brenda Lee_1967,0.2857142857142857,0.5607142857142858
Balon Combo_Mau Mau_1994,0.0,0.0
Baltech's Lament_The Lord Weird Slough Feg_2003,-0.07142857142857142,0.36190476190476184
Baltimore Oriole (2004 Digital Remaster)_George Harrison_1981,0.18055555555555558,0.5166666666666667
Band Intro Pila Song Intro_Max Stalling_0,0.2130952380952381,0.4607142857142857
Bang Bang_The Knux_2008,-0.13066534914361003,0.5567193675889328
Basking Under a Blacksun Dawning_Morgion_1997,0.04370748299319728,0.4452380952380953
Bath Of Least Resistance_NOFX_2001,0.09078144078144076,0.38522588522588525
Be Aware_SOJA_2006,0.005924242424242425,0.5469444444444443
Be Careful With A Fool_Johnny Winter_1969,-0.10724789915966383,0.7492997198879552
Be Healthy_Dead Prez_2000,0.16065340909090906,0.6302083333333335
Be Like That_3 Doors Down_1999,0.16690630797773653,0.3901927437641723
Be My Lover_Alice Cooper_1971,0.19999999999999998,0.5
Be My Lover_Brenda Boykin_2008,0.0,0.0
Be Stiff (Live)_Devo_1993,-0.12991393527107814,0.46981292517006806
Be With Me_Mindy McCready_2002,0.12525720164609055,0.4890946502057614
Beast In the Broch_The Lord Weird Slough Feg_2000,0.0,0.0
Beautiful Lies_Eddie_1957,0.0419053169053169,0.5277611277611277
Beautiful_Christina Aguilera_2002,0.1487953514739228,0.5251417233560092
Beautiful_Eminem_2009,0.04595553751803752,0.5653742784992783
Beauty And The Beast_Nightwish_1997,0.11499999999999996,0.61
Because Of You (Album Version)_Unwritten Law_2005,0.30100000000000005,0.639
Because Of You_Cece Winans_1995,0.25999999999999995,0.72
Because Of You_Neil Sedaka_1999,0.22406417112299465,0.49411764705882355
Bed Of Roses_Warrant_1996,-0.029960317460317486,0.42222222222222217
Bedroom Acoustics_Muse_2001,0.0,0.0
Bedtime Story (Album Version)_Madonna_1994,-0.12,0.3466666666666667
Beef_Capone-N-Noreaga_2009,0.029294532627865945,0.39694885361552024
Been Fighting Devilz_Snowgoons_2009,0.1630169649191388,0.6811069365417192
Been There All The Time_Dinosaur Jr_2007,0.3041666666666667,0.275
Beginning Of The End_Cockney Rejects_1987,0.20753968253968252,0.4783730158730159
Beholder of Justice (Album Version)_Hatebreed (int License)_2003,0.03452380952380955,0.6324074074074074
Believe (Album Version)_Josh Groban_2017,0.23484848484848486,0.4954545454545455
Believe In Me (Clubb Mix)_ATB_2005,-0.03333333333333335,0.5481481481481482
Believe_Saga_2001,0.0,0.0
Belleza Pasajera_Tam Tam Go!_1993,0.0,0.0
Beni Aglatma_Mustafa Sandal_1994,0.0,0.0
Beothuck_Malefaction_2001,0.0,0.15555555555555553
bereit_Panzer AG_2004,0.0,0.75
Best Friends_Kieran_2005,0.27019230769230784,0.5424908424908428
Best Friend_Toni Braxton_1993,0.39181818181818184,0.49833333333333335
Best In LA_Marc Shaiman_2008,0.27618492618492624,0.48051670551670544
Betrayal Is A Symptom_Thrice_2002,0.14024327122153207,0.42727743271221535
Better Days (Album Version)_Faith Hill_1998,0.2444591416813639,0.4774985302763081
Better Days_Colin James_1995,0.3289215686274509,0.4855392156862745
Better Life_3 Doors Down_2007,0.456390977443609,0.6177944862155389
Better Luck Next Time_Lifehouse_2005,0.21154401154401153,0.6633477633477634
Better To Have Lost In Love (Than Never To Have Loved)_Eurythmics_1985,0.1922123015873016,0.4602678571428571
Better_Vivian_1992,0.14727182539682537,0.5548115079365079
Between Love & Hate_The Strokes_2003,-0.10055555555555552,0.5950000000000001
Between Me & You Kid (Album Version)_Mudhoney_1993,-0.003968253968253977,0.6357448107448108
Between The Worlds_Be Bop Deluxe_1975,0.028333333333333332,0.6799999999999999
Between You And Me_Joy Enriquez_2001,0.18318764568764573,0.37275641025641026
Be_Jessica Simpson_2003,0.17962962962962967,0.5268518518518518
Big Boss Man_John Hammond_1965,0.01946924603174603,0.2633928571428571
Big Bottom_Spinal Tap_1984,-0.04962121212121213,0.3640151515151514
Big Business_Dilated Peoples_2004,0.04790909090909091,0.38951515151515154
Big Fella_Fuzz_2002,-0.014285714285714282,0.4476190476190475
Big Train_Conway Twitty_2009,0.11603535353535353,0.547979797979798
Big Woman_Washboard Sam_1986,0.03958333333333333,0.33229166666666665
Biloxi_Kenny Price_1999,-0.06981481481481482,0.3853703703703703
Birch_Maximilian Hecker_2005,0.0,0.0
Birdies_Danny Elfman_2008,0.09157430213464696,0.5777777777777778
Bitch Is Back_LA Guns_1988,0.043311688311688294,0.4251904761904761
Bite Back_The All-American Rejects_2005,0.05973892362781252,0.42167842445620224
Black & White_Vanessa Daou_2008,0.15833333333333333,0.3882380952380952
Black Betty_Pat Travers_2007,-0.09977777777777783,0.4364444444444445
Black Celebration_Monster Magnet_1998,-0.05833333333333333,0.36666666666666675
Black Diamond_Taking Dawn_2010,0.07499999999999997,0.5333333333333334
Black Lung (Album Version)_Rancid_1998,0.009890109890109904,0.4453296703296704
Black Market Hell_Aiden_2009,0.001010101010101012,0.35555555555555557
